trial,emb_dim,mlp_layers,lr,l2,alpha,val_ndcg,hr,runtime_s,emb_dim_x,mlp_x,log_lr,log_l2
1,128,"[256, 128, 64]",5.21e-03,1.24e-04,0.9238,0.29130,0.53790,432.9,2.3219,0.8778,-5.2564,-8.9983
2,256,"[256, 128, 64, 32]",3.73e-03,2.42e-06,2.5267,0.34830,0.62550,431.7,2.9269,1.5223,-5.5904,-12.9305
3,128,"[256, 128, 64]",5.21e-03,1.24e-04,0.9238,0.29990,0.55150,1338.8,2.3219,0.8778,-5.2564,-8.9983
4,256,"[256, 128, 64, 32]",3.73e-03,2.42e-06,2.5267,0.37450,0.66560,1342.1,2.9269,1.5223,-5.5904,-12.9305
5,64,"[256, 128, 64, 32]",1.94e-03,2.94e-04,2.4954,0.32930,0.59750,1393.4,1.1124,1.8535,-6.2452,-8.1321
6,64,"[256, 128, 64]",1.34e-04,3.04e-04,3.3425,0.34960,0.63050,1334.9,0.6817,1.1092,-8.9165,-8.0984
7,128,"[256, 128, 64]",8.74e-03,4.78e-04,4.0027,0.23900,0.44140,1341.4,2.2743,0.7091,-4.7401,-7.6460
8,128,"[256, 128, 64]",5.21e-03,1.24e-04,0.9238,0.29990,0.55150,1350.8,2.3219,0.8778,-5.2564,-8.9983
9,256,"[256, 128, 64, 32]",3.73e-03,2.42e-06,2.5267,0.37450,0.66560,1388.0,2.9269,1.5223,-5.5904,-12.9305
10,64,"[256, 128, 64, 32]",1.94e-03,2.94e-04,2.4954,0.32930,0.59750,1386.0,1.1124,1.8535,-6.2452,-8.1321
11,64,"[256, 128, 64]",1.34e-04,3.04e-04,3.3425,0.34960,0.63050,1332.5,0.6817,1.1092,-8.9165,-8.0984
12,128,"[256, 128, 64]",8.74e-03,4.78e-04,4.0027,0.23900,0.44140,1336.5,2.2743,0.7091,-4.7401,-7.6460
13,256,"[256, 128, 64, 32]",2.78e-03,1.00e-06,2.7351,0.37950,0.66610,1375.0,3.0000,1.8584,-5.8866,-13.8155
14,128,"[256, 128, 64, 32]",6.12e-04,1.00e-06,1.7642,0.39140,0.67680,1364.2,2.3478,1.5362,-7.3989,-13.8155
15,128,"[256, 128, 64, 32]",3.05e-03,1.00e-06,0.5000,0.40130,0.69290,1380.8,1.7679,1.9740,-5.7929,-13.8155
16,32,"[256, 128, 64, 32]",5.72e-04,1.00e-06,0.9957,0.38680,0.67470,1367.8,0.0000,1.9158,-7.4663,-13.8155
17,256,"[256, 128, 64, 32]",7.14e-04,1.00e-06,0.5000,0.40560,0.69370,1340.6,3.0000,2.0000,-7.2453,-13.8155
18,128,"[256, 128, 64, 32]",1.00e-04,1.00e-06,0.5000,0.39050,0.68080,1345.8,2.0085,2.0000,-9.2103,-13.8155
19,32,"[256, 128, 64, 32]",1.00e-04,1.00e-06,5.0000,0.33670,0.60760,1373.8,0.0000,2.0000,-9.2103,-13.8155
20,32,"[128, 64]",1.00e-04,1.00e-06,0.5000,0.33790,0.60930,1338.7,0.0000,0.0000,-9.2103,-13.8155
21,32,"[256, 128, 64, 32]",1.00e-04,1.00e-03,0.5000,0.32870,0.60510,1348.7,0.0000,2.0000,-9.2103,-6.9078
22,256,"[256, 128, 64, 32]",1.00e-02,1.00e-06,0.5000,0.35710,0.63560,1392.4,3.0000,2.0000,-4.6052,-13.8155
